118242,229
76944,371
105705,334
106226,439902
106325,73
106345,441577
118162,263
106188,126030
75336,442560
106206,439910
98834,394724
106202,439912
74983,313359
106238,439898
75363,471869
109796,337
106202,439911
106305,441594
118198,248
105704,119337
74884,1239
74438,480880
106154,439934
105677,345
106222,439905
106206,439909
106322,439860
105693,337
0,2
75327,471882
81560,439942
28418,439897
106222,439906
106220,126015
106198,439912
44,124155
106202,439910
75018,315069
106206,439908
106198,439911
11,470829
79602,313140
105761,441823
11826,439983
105697,334
8,0
109804,336
106211,314005
106222,439907
106206,439907
105677,342
106202,439909
80387,352473
29023,293048
13676,442656
105693,335
105697,333
8,1
106202,439908
75294,342544
106376,332913
106198,439910
106222,439908
114571,117323
43294,5919
103960,471905
74426,473984
105689,336
104252,313113
106210,439904
106222,439909
106198,439909
106199,314012
106246,439899
106194,439911
105661,347
106202,439907
106368,1777
106206,439905
105681,339
106210,439903
31328,352441
105721,333
106189,117411
0,6
106226,439908
106202,439906
102111,439904
106222,439910
106194,439910
106198,439908
106214,439914
106197,448531
104659,431932
106206,439904
106210,439902
106360,1776
106188,126024
106314,439872
106222,439911
106190,439911
77569,439902
16,124175
106202,439905
18,382873
106198,439907
109298,128163
106226,439909
106194,439909
106206,439903
106194,439908
105697,343
106361,124227
106214,439915
106189,117399
106210,439901
106211,210521
106198,439906
105677,352
75210,314996
106226,439910
106190,439910
75033,96025
106438,446718
106190,439909
13681,440931
5,294923
106194,439907
106206,439902
106329,448487
106202,439904
106214,439916
106186,439911
108087,471879
69226,176
106210,439900
105865,262
28232,1915
110168,184
106202,439903
75242,314983
109760,357
104485,469947
13524,1210
106186,439910
105013,352451
106198,439905
106190,439908
100934,352442
106213,441642
30842,431966
21,446673
106206,439901
44457,441772
106182,439912
106210,439899
106246,439902
106293,448503
41,294905
3664,439962
105673,352
106433,19
106526,294908
106198,439904
106190,439907
105617,374
106186,439909
106182,439911
106194,439906
79141,315048
106302,439880
105673,351
106202,439902
45,446664
106206,439900
11832,1926
106198,439903
69207,439963
106210,439898
106286,439888
106186,439908
3512,440036
106182,439910
117930,365
77529,439902
106194,439905
106206,439899
106250,439902
398,293033
106202,439901
108214,25149
106210,439897
106182,439909
106262,439899
106357,441577
106190,439906
77439,126064
106202,439900
104236,313103
106198,439902
77529,439901
118186,441767
106194,439904
106250,439903
106194,439903
106206,439898
106301,124249
105673,348
103715,315047
76936,380
106210,439896
105701,335
74972,332326
105825,277
106198,439901
106186,439907
75323,471880
106190,439905
81684,439899
38590,442500
106190,439904
106202,439899
106194,439902
104973,352459
75247,471904
106206,439897
106330,439872
106210,439895
106186,439906
110191,126056
106310,439881
106190,439903
103999,25183
106205,448520
16,124183
106202,439898
106217,441645
106194,439901
106262,439900
106198,439900
79076,440998
106320,194948
106250,439905
106186,439905
106206,439896
108238,314866
105693,351
106189,117395
13589,440953
106202,439897
106342,294997
106198,439899
44822,439902
106190,439902
28426,439907
106186,439904
16,8
44818,439903
106206,439895
106182,439906
111575,1296
108115,471864
106289,73
106333,441593
15,125905
105725,340
13621,440939
106186,439903
106198,439898
118194,262
106182,439905
108059,471885
101646,333
106194,439900
106531,293189
106294,439886
105733,337
106373,441580
106202,439896
106302,439887
28366,439900
106326,439877
106182,439904
106202,439895
106190,439901
109756,441875
43286,5937
69246,448557
106194,439899
105673,358
106198,439897
106182,439903
106194,439898
106206,439893
106383,431222
106210,439891
74904,1239
105673,357
106270,294995
106298,439889
106318,439880
106198,439896
76296,352457
87487,314978
106186,439902
106190,439900
11,470844
106242,439914
106368,1764
106194,439897
105675,334942
105681,352
106198,439895
106187,314003
13508,1220
103853,290844
106190,439899
106333,57
106186,439901
108091,471874
104541,469943
105737,338
105833,441778
118166,272
106190,439898
106378,439849
28252,126061
43102,6011
106194,439896
75033,434056
106186,439900
106182,439902
31164,442171
105681,364
106186,439899
106286,439897
106190,439897
105128,429996
97531,333
106254,439911
118174,264
104556,312987
106217,469245
106182,439901
8,124192
24227,439915
11,470833
77228,259
105753,441819
106286,439898
106186,439898
106290,439896
106194,439895
106213,101
106318,439883
74889,351348
106278,439902
106206,439889
3678,126071
28354,439900
106250,439914
106324,1776
24,124184
106286,439896
106190,439896
106377,33
105673,365
106374,439861
106246,439915
106290,439895
106190,439895
105681,362
106334,439874
74997,440975
80363,352479
24147,439947
106338,439872
109796,346
70404,437762
106278,439904
106529,124179
106210,439885
29002,494835
104389,470012
106326,439884
106298,439895
44850,439898
106314,439889
106286,439901
105677,363
106290,439899
106291,313999
75303,471877
106385,441577
106294,439897
